epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,415.327,1.0589,2.54618,1.28194,0.33344,0.22519,0.18052,0.0899,1.48716,3.09163,1.63108,0.000332584,0.000332584,0.000332584
2,903.339,1.04024,1.87939,1.26651,0.33489,0.15482,0.11812,0.06866,1.51904,2.70869,1.63967,0.000652732,0.000652732,0.000652732
3,1470.74,1.02659,1.71262,1.25786,0.31737,0.15045,0.11731,0.06697,1.53833,2.47578,1.64919,0.000959681,0.000959681,0.000959681
4,2034.1,0.99513,1.61313,1.24509,0.34143,0.18379,0.14594,0.08311,1.55836,2.48366,1.68199,0.0009406,0.0009406,0.0009406
5,2615.73,0.97313,1.49887,1.22567,0.42583,0.30023,0.26126,0.15114,1.46045,2.20888,1.5611,0.0009208,0.0009208,0.0009208
6,3187.47,0.94543,1.40339,1.20816,0.45602,0.35691,0.33523,0.19882,1.4398,2.02743,1.56269,0.000901,0.000901,0.000901
7,3743.56,0.92079,1.33927,1.19549,0.46455,0.34965,0.33127,0.1982,1.45915,2.04388,1.58408,0.0008812,0.0008812,0.0008812
8,4310.68,0.90539,1.30596,1.19121,0.49258,0.34193,0.35048,0.21862,1.39979,2.04544,1.53611,0.0008614,0.0008614,0.0008614
9,4877.8,0.88883,1.24353,1.17666,0.46386,0.33394,0.33022,0.19824,1.4315,2.20059,1.58044,0.0008416,0.0008416,0.0008416
10,5443.97,0.87429,1.19682,1.17001,0.51053,0.37156,0.37422,0.23282,1.36641,1.92695,1.50735,0.0008218,0.0008218,0.0008218
11,6007.4,0.86875,1.18552,1.16252,0.51868,0.38083,0.39441,0.23988,1.37742,1.97928,1.52062,0.000802,0.000802,0.000802
12,6562.84,0.85541,1.14381,1.15473,0.53164,0.36867,0.38137,0.24478,1.37839,2.00516,1.53554,0.0007822,0.0007822,0.0007822
13,7090.27,0.84312,1.11409,1.15529,0.51507,0.36002,0.37047,0.23511,1.3765,2.08016,1.53581,0.0007624,0.0007624,0.0007624
14,7607.44,0.83242,1.08412,1.14408,0.51444,0.39055,0.39084,0.24659,1.38496,1.98996,1.53804,0.0007426,0.0007426,0.0007426
15,8127.71,0.82971,1.06776,1.13863,0.54125,0.41006,0.41199,0.25936,1.39296,1.93703,1.54466,0.0007228,0.0007228,0.0007228
16,8668.73,0.82851,1.05147,1.13842,0.56721,0.40782,0.42603,0.27563,1.30411,1.8091,1.44871,0.000703,0.000703,0.000703
17,9191.17,0.81384,1.032,1.13158,0.56489,0.41805,0.44348,0.28794,1.33532,1.81324,1.48214,0.0006832,0.0006832,0.0006832
18,9719.46,0.80643,1.00467,1.12646,0.57588,0.41862,0.43401,0.28169,1.32885,1.87533,1.47546,0.0006634,0.0006634,0.0006634
19,10233.7,0.80372,0.98406,1.12549,0.59989,0.44595,0.47407,0.31263,1.27534,1.65089,1.40974,0.0006436,0.0006436,0.0006436
20,10750.8,0.79445,0.96622,1.12169,0.55792,0.43021,0.44906,0.29274,1.30414,1.80976,1.45123,0.0006238,0.0006238,0.0006238
21,11281,0.79299,0.95999,1.1136,0.59446,0.41051,0.45301,0.29254,1.31339,1.80608,1.45818,0.000604,0.000604,0.000604
22,11789.3,0.79015,0.94435,1.10985,0.57731,0.43295,0.46904,0.31069,1.28375,1.7084,1.42869,0.0005842,0.0005842,0.0005842
23,12300.8,0.78586,0.92833,1.10731,0.62879,0.42183,0.46438,0.30893,1.27443,1.73419,1.42466,0.0005644,0.0005644,0.0005644
24,12818.1,0.77446,0.91256,1.10811,0.56399,0.454,0.46559,0.31076,1.2675,1.70443,1.41003,0.0005446,0.0005446,0.0005446
25,13330,0.76848,0.88874,1.1004,0.58954,0.43276,0.46506,0.30112,1.28304,1.75429,1.43587,0.0005248,0.0005248,0.0005248
26,13836.3,0.76382,0.88833,1.09747,0.58749,0.44718,0.47072,0.30599,1.28726,1.72869,1.4463,0.000505,0.000505,0.000505
27,14357.6,0.76947,0.86753,1.09465,0.62647,0.43729,0.47847,0.31271,1.26934,1.72173,1.42439,0.0004852,0.0004852,0.0004852
28,14874.1,0.75257,0.85048,1.08827,0.62463,0.44369,0.48949,0.3255,1.25592,1.68043,1.39847,0.0004654,0.0004654,0.0004654
29,15405.1,0.73944,0.84229,1.08779,0.61836,0.41587,0.45554,0.30431,1.28915,1.81169,1.44323,0.0004456,0.0004456,0.0004456
30,15962.4,0.73913,0.82721,1.08052,0.59217,0.45062,0.47813,0.31549,1.26558,1.77797,1.4276,0.0004258,0.0004258,0.0004258
31,28005.5,0.7378,0.82118,1.0817,0.62205,0.42721,0.46637,0.3126,1.25915,1.74045,1.41827,0.000406,0.000406,0.000406
32,38225.2,0.73339,0.81357,1.08142,0.62425,0.44355,0.48512,0.32458,1.26034,1.75871,1.42008,0.0003862,0.0003862,0.0003862
33,45129,0.72446,0.78622,1.07316,0.67685,0.41762,0.47309,0.31481,1.27162,1.83571,1.43323,0.0003664,0.0003664,0.0003664
34,48420.9,0.72122,0.78699,1.07149,0.62365,0.45545,0.48849,0.32789,1.24797,1.72355,1.40618,0.0003466,0.0003466,0.0003466
35,48975.2,0.70725,0.76921,1.07175,0.63056,0.43876,0.49008,0.32829,1.25826,1.71576,1.40679,0.0003268,0.0003268,0.0003268
36,49516.1,0.71606,0.76748,1.06821,0.63434,0.4379,0.48582,0.32631,1.23387,1.72391,1.40297,0.000307,0.000307,0.000307
37,50082.5,0.71076,0.75522,1.06633,0.65797,0.45605,0.50678,0.33706,1.23979,1.66911,1.3938,0.0002872,0.0002872,0.0002872
38,50651.5,0.71955,0.75637,1.06539,0.65226,0.45775,0.50437,0.33901,1.24812,1.66059,1.40046,0.0002674,0.0002674,0.0002674
39,51190.8,0.70601,0.73717,1.06065,0.64431,0.44599,0.49253,0.33772,1.23737,1.67374,1.39532,0.0002476,0.0002476,0.0002476
40,377.543,0.70171,0.72689,1.05768,0.66679,0.44599,0.50076,0.33658,1.25442,1.68919,1.40823,0.0002278,0.0002278,0.0002278
41,825.435,0.70325,0.65814,1.051,0.64185,0.4504,0.49867,0.33434,1.23318,1.71634,1.39973,0.000208,0.000208,0.000208
42,1251.47,0.69233,0.62343,1.04067,0.68137,0.43955,0.49693,0.33885,1.23758,1.71719,1.4092,0.0001882,0.0001882,0.0001882
43,1691.29,0.68296,0.61532,1.03496,0.64708,0.45013,0.49847,0.33703,1.2428,1.74402,1.41432,0.0001684,0.0001684,0.0001684
